epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,timestamp
1,2.467722,0.310117,1.803893,0.452781,1.00e-04,2025-10-29 14:29:16
2,1.664022,0.509929,1.383929,0.552393,1.00e-04,2025-10-29 14:31:11
3,1.281855,0.617139,1.205083,0.613842,1.00e-04,2025-10-29 14:33:06
4,1.016393,0.687005,1.096686,0.644243,1.00e-04,2025-10-29 14:35:03
5,0.821722,0.744424,1.015932,0.682406,1.00e-04,2025-10-29 14:37:02
6,0.661961,0.791841,0.959831,0.706339,1.00e-04,2025-10-29 14:38:58
7,0.547684,0.826882,0.939228,0.728331,1.00e-04,2025-10-29 14:40:54
8,0.438554,0.858901,0.905477,0.728978,1.00e-04,2025-10-29 14:42:49
9,0.354701,0.887250,0.879967,0.746442,1.00e-04,2025-10-29 14:44:44
10,0.307853,0.900561,0.897745,0.761966,1.00e-04,2025-10-29 14:46:44
11,0.262646,0.915240,0.917207,0.757439,1.00e-04,2025-10-29 14:48:45
12,0.221395,0.929774,0.946800,0.758732,1.00e-04,2025-10-29 14:50:46
13,0.206854,0.934091,0.933518,0.768435,1.00e-04,2025-10-29 14:52:46
14,0.177653,0.943949,0.951739,0.760026,1.00e-04,2025-10-29 14:54:47
15,0.155868,0.949201,0.953036,0.767788,1.00e-04,2025-10-29 14:56:40
16,0.150703,0.951576,0.934821,0.776197,1.00e-04,2025-10-29 14:58:41
17,0.141191,0.954022,0.934431,0.776197,1.00e-04,2025-10-29 15:00:38
18,0.123900,0.960354,0.937979,0.771022,1.00e-04,2025-10-29 15:02:33
19,0.112294,0.963736,0.956501,0.780078,1.00e-04,2025-10-29 15:04:31
20,0.107260,0.966254,1.023787,0.767141,1.00e-04,2025-10-29 15:06:32
21,0.105320,0.965607,0.996107,0.784605,1.00e-04,2025-10-29 15:08:34
22,0.097244,0.967621,1.004999,0.784605,1.00e-04,2025-10-29 15:10:35
23,0.084996,0.970499,1.072195,0.773609,1.00e-04,2025-10-29 15:12:37
24,0.084984,0.971795,1.031325,0.777490,1.00e-04,2025-10-29 15:14:38
25,0.100156,0.967765,1.029659,0.786546,1.00e-04,2025-10-29 15:16:40
26,0.085856,0.971866,1.045681,0.766494,1.00e-04,2025-10-29 15:18:41
27,0.090105,0.972802,1.070160,0.768435,1.00e-04,2025-10-29 15:20:43
28,0.078281,0.973449,1.077855,0.784605,1.00e-04,2025-10-29 15:22:44
29,0.078460,0.973665,1.103755,0.780078,1.00e-04,2025-10-29 15:24:46
30,0.058470,0.981436,1.062732,0.778784,5.00e-05,2025-10-29 15:26:47
